Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),608,348,2582,1684,1283,705,437,244,7572,5359,3217,2176,856,242,2574,2079,1119,798,463,270,7959,6149,3667,1758,291,236,2805,1714,1376,764,595,242,8179,5504,3402,1786,1308,291,2714,1973,1242,885,488,263,7954,6434,3474,1896,1115,255,5054,3595,2537,1469,703,263,7116,5359,2909,1476,824,261,5436,2971,2172,1200,747,251,7404,4697,3206,1374,828,505,5523,4026,2811,1425,828,242,6899,6192,2856,1992,830,369,5287,4141,2283,1240,711,204,6549,5478,3862,2206,803
Raw Data (Em Spectrum),609,312,2675,1732,1320,681,491,243,7565,5211,3134,2089,866,250,2533,2066,1163,827,491,239,8174,6178,3431,1784,269,220,2749,1738,1357,851,629,243,8256,5609,3397,1796,1251,263,2753,2053,1221,896,482,230,8233,6520,3545,1945,1189,218,5290,3882,2514,1467,646,248,6994,5351,2880,1379,821,250,5646,3018,2188,1348,767,226,7358,4989,3130,1443,771,541,5648,4239,2774,1497,827,228,7141,6402,3093,2014,844,310,5441,4429,2283,1282,694,224,7085,5536,3890,2372,894
Raw Data (Em Spectrum),610,347,2780,1885,1224,681,513,251,7497,5496,3336,2071,842,281,2592,2116,1159,886,463,227,8278,6362,3550,1833,284,244,2921,1929,1379,764,556,218,8352,5616,3423,1802,1316,240,2843,1961,1265,855,497,231,8236,6275,3637,1920,1244,199,5450,3888,2708,1516,679,251,7172,5463,3007,1497,735,268,5902,3109,2129,1366,731,216,7433,5145,3242,1431,842,583,5780,4351,2817,1495,812,225,7361,6257,3022,1959,855,323,5804,4436,2393,1442,731,214,7141,5620,4124,2383,849
Raw Data (Em Spectrum),611,355,2652,1751,1287,737,435,251,7691,5404,3404,2177,861,229,2727,2219,1207,872,444,260,8237,6444,3613,1784,277,229,2956,1966,1382,892,541,217,8677,5754,3624,1822,1331,277,2976,2159,1311,934,470,249,8293,6631,3639,1895,1181,235,5559,4267,2656,1516,726,251,7450,5399,3180,1693,801,197,5865,3142,2359,1380,777,220,7793,5182,3369,1438,817,528,6069,4449,2911,1616,941,226,7532,6653,3122,2146,845,306,5603,4498,2423,1378,748,197,7225,5830,4134,2488,857
Raw Data (Em Spectrum),612,315,2632,1847,1357,760,436,214,7935,5402,3208,2218,853,214,2628,2245,1224,855,454,272,8363,6284,3582,1782,263,211,2877,1966,1453,844,535,227,8486,5912,3550,1762,1246,247,3006,2092,1271,949,430,234,8149,6702,3656,2034,1188,223,5642,4239,2806,1570,688,279,7415,5674,3051,1543,785,225,6041,3197,2286,1291,823,238,7841,5125,3179,1447,855,515,6115,4428,3064,1494,850,225,7773,6504,3028,2074,864,360,5906,4711,2461,1417,774,256,7341,5766,3973,2392,916
Raw Data (Em Spectrum),613,304,2687,1748,1366,765,414,212,7946,5520,3406,2202,873,219,2758,2260,1234,868,452,201,8549,6564,3601,1775,251,201,2979,1908,1528,914,624,242,8504,5876,3448,1796,1245,217,2970,2145,1220,1021,448,201,8476,6694,3703,1926,1108,251,5682,4343,2787,1558,633,235,7695,5826,3169,1608,761,231,6198,3215,2429,1378,749,206,7789,5474,3400,1485,813,569,6080,4496,2945,1574,930,249,7688,6495,3162,2136,880,308,5920,4663,2531,1430,756,176,7407,5881,4220,2413,829
Raw Data (Em Spectrum),614,313,2910,1895,1325,707,454,195,7807,5626,3374,2167,890,257,2815,2361,1274,887,436,234,8578,6613,3756,1856,294,197,3119,1937,1522,901,535,218,8761,5888,3603,1812,1284,243,3175,2208,1265,1022,445,222,8511,6785,3782,1988,1163,227,6141,4458,2929,1620,681,260,7832,5830,3270,1546,837,174,6444,3344,2408,1381,823,211,8096,5429,3360,1504,869,445,6319,4688,3237,1650,925,211,7742,6891,3184,2046,843,324,6282,4783,2702,1430,758,169,7631,6059,4208,2433,936
Raw Data (Em Spectrum),615,287,2872,1991,1375,763,443,214,8166,5640,3371,2151,829,224,2855,2279,1252,847,424,224,8594,6471,3783,1843,297,224,3095,2057,1457,857,558,188,8707,5965,3474,1860,1363,221,3206,2170,1410,982,497,205,8573,6673,3750,1944,1219,221,5969,4875,2858,1702,706,261,7890,5864,3128,1674,786,205,6330,3543,2481,1445,781,217,8286,5449,3434,1424,829,487,6374,4938,3182,1598,920,209,8036,6782,3288,2090,911,346,6273,4800,2674,1426,817,160,7902,5934,4421,2382,859
Raw Data (Em Spectrum),616,285,2924,2102,1436,736,427,173,8158,5771,3415,2085,872,201,3037,2421,1297,846,391,218,8750,6632,3686,1896,280,201,3274,2097,1496,808,551,230,8901,5831,3741,1917,1369,230,3185,2413,1416,1107,506,175,8592,6874,3724,2037,1174,225,6306,4779,3142,1666,709,244,8453,6186,3271,1685,829,220,6864,3588,2651,1642,836,213,8573,5884,3571,1476,836,458,6826,5086,3204,1670,870,216,8324,7077,3485,2387,824,304,6675,5323,2893,1472,853,175,7952,6198,4556,2428,884
Raw Data (Em Spectrum),617,300,3017,2083,1498,754,446,198,8324,6010,3505,2200,885,171,2919,2510,1266,910,446,202,8978,7088,3839,1961,273,173,3388,2283,1651,890,534,198,8876,6078,3683,1915,1307,217,3461,2444,1441,1073,510,190,8995,7112,3785,2068,1168,198,6783,5037,3063,1673,727,310,8405,6480,3510,1685,810,200,7166,3849,2566,1524,827,190,8763,5973,3600,1585,866,495,7166,5300,3637,1778,902,200,8736,7168,3632,2415,946,283,6846,5361,2966,1602,820,149,8244,6561,4593,2483,951
Raw Data (Em Spectrum),618,286,3262,2068,1560,759,425,189,8766,6176,3670,2309,819,182,3140,2620,1376,846,490,174,9550,7161,4001,2001,239,182,3406,2277,1692,886,560,184,9575,6392,3827,1899,1461,204,3625,2364,1403,1053,500,212,9411,7241,4073,2011,1267,189,7010,5021,3369,1884,774,281,8923,6616,3556,1839,856,207,7654,3961,2740,1630,809,169,9468,6017,3857,1647,876,448,7477,5760,3797,1749,956,184,9102,7338,3576,2411,956,279,7584,5641,3090,1580,893,179,8617,6751,4705,2543,1003
Raw Data (Em Spectrum),619,235,3501,2206,1642,759,498,182,9240,6273,3728,2363,845,215,3564,2889,1391,941,511,182,9840,7411,4191,1917,202,177,3741,2474,1745,997,610,177,10219,6597,3860,2001,1487,212,3744,2729,1530,1156,526,200,9574,7578,4300,2201,1300,169,7530,5643,3594,1917,769,281,9642,7019,3832,1834,921,190,8206,4341,3180,1687,911,175,10017,6799,3936,1773,999,412,8099,6000,3911,1852,994,192,9716,7877,4123,2524,1014,276,7755,6063,3329,1788,923,177,9448,7343,4983,2583,1012
Raw Data (Em Spectrum),620,258,3773,2442,1702,792,539,175,9615,6765,4124,2321,985,196,3466,3105,1545,983,459,186,10293,7804,4405,2084,245,173,4011,2577,1823,1047,560,186,10469,7095,4080,2102,1555,211,4070,2796,1666,1233,619,162,10208,7980,4482,2267,1315,201,8191,5937,3709,2027,856,268,10061,7714,4101,2056,988,178,8808,4655,3211,1958,928,157,10608,7260,4258,1872,1014,459,8676,6494,4119,1973,1042,173,10420,8436,4302,2773,1016,266,8439,6530,3600,1854,1006,150,10389,7851,5254,2690,1052
Raw Data (Em Spectrum),621,266,4049,2687,1904,849,526,150,10515,7386,4354,2537,1041,174,3913,3190,1701,1241,560,181,11225,8451,4730,2285,252,181,4638,2814,2069,1097,642,158,11654,7649,4454,2356,1586,213,4541,3092,1775,1370,605,168,10991,8538,4667,2566,1409,155,9082,6747,4202,2151,997,224,11199,8491,4475,2348,1033,171,9608,5201,3610,2122,1015,163,11759,7875,4728,2143,1049,429,9658,7273,4749,2327,1136,166,11612,8730,4404,3016,1160,210,9474,7378,3860,2025,1073,168,11323,8407,5958,2753,1041
Raw Data (Em Spectrum),622,250,4645,2990,1945,1005,629,156,11418,8009,4873,2738,1037,185,4532,3608,1851,1265,551,180,12654,9548,5212,2450,234,167,4968,3262,2182,1136,591,148,12203,8611,4965,2431,1840,188,5040,3417,2031,1437,725,175,12401,9688,5212,2601,1642,172,10013,7815,4798,2547,1007,193,12759,9586,4911,2456,1198,204,10827,5776,4068,2329,1236,180,13183,8699,5199,2375,1174,451,11120,8154,5381,2490,1187,175,13175,9914,5268,3345,1319,274,10424,8490,4339,2206,1091,148,12700,9693,6314,3240,1187
Raw Data (Em Spectrum),623,247,5192,3328,2359,1194,656,148,13199,8907,5302,2960,1200,167,5220,4275,2158,1428,681,176,14188,10585,5884,2812,275,195,5849,3657,2416,1378,637,151,14177,9654,5629,2861,1988,211,5733,3863,2345,1601,714,206,14278,10728,5788,2894,1782,154,11645,8567,5730,2839,1186,178,14583,10978,5785,2891,1236,181,12466,6744,4605,2773,1203,137,15212,10245,5695,2636,1312,428,12801,9113,6247,2930,1458,154,14918,11142,6011,3830,1312,291,12282,9627,5385,2592,1277,148,14750,10934,7076,3355,1384
Raw Data (Em Spectrum),624,282,6044,3913,2668,1326,722,176,14960,10253,6052,3437,1306,157,5918,4847,2450,1605,666,165,16003,12088,6486,3090,308,176,6662,4162,3015,1577,716,162,16482,10935,6606,2970,2159,190,6435,4525,2668,1835,836,162,15956,12144,6665,3351,1860,190,13998,10046,6290,3365,1314,157,16876,12692,6726,3174,1541,145,14583,7702,5395,2981,1558,140,17698,11481,6519,3023,1572,445,15047,11067,6958,3297,1580,173,17077,13455,6707,4315,1703,238,14303,10944,5949,3090,1468,145,16663,12790,8004,3555,1684
Raw Data (Em Spectrum),625,240,7049,4697,3157,1426,844,143,17612,11886,7295,3932,1511,145,7009,6091,2877,1817,750,185,18821,14110,7566,3542,317,165,8005,4908,3433,1956,796,171,19055,12984,7312,3656,2655,200,8065,5327,2946,2067,904,188,19032,13953,7620,3873,2259,163,16101,12194,7605,4098,1403,174,20124,14547,8065,3924,1683,171,17472,9297,6548,3824,1742,128,20686,13825,7668,3659,1811,419,17675,13149,8495,3833,1905,137,20432,15188,7982,5213,1951,285,17378,13372,6938,3747,1839,157,20016,15003,9647,4024,1808
Raw Data (Em Spectrum),626,259,8470,5500,3829,1703,993,134,20722,14217,8237,4624,1869,160,8685,6924,3447,2175,996,157,21901,16989,9081,4452,323,163,9189,5980,4120,2050,833,154,22853,15324,8755,4254,2979,189,9739,6272,3444,2321,1083,195,22236,16873,9043,4749,2655,183,19787,14669,9093,4746,1732,169,24338,17615,9329,4661,2227,242,21415,11428,7719,4321,2059,148,24897,16669,9003,4196,1971,402,21205,15641,10269,4603,2195,143,24105,18046,9477,6438,2181,294,20795,16087,8301,4088,2111,137,23418,18000,11157,4659,2224
Raw Data (Em Spectrum),627,279,9932,6607,4190,2256,1120,169,24890,16762,9810,5245,1914,196,9947,7944,4268,2654,1052,175,26263,19288,10645,5177,389,187,11026,6999,4794,2535,924,166,26584,18114,10301,5014,3447,214,11388,7593,4104,2811,1242,190,26075,20129,10604,5537,3123,163,23425,16922,11103,5641,2003,178,29030,21326,11261,5412,2392,175,25312,13041,9341,5186,2609,158,29407,19659,10541,5132,2571,404,25353,18586,11825,5516,2556,175,28914,21184,11079,7480,2687,256,25133,19237,10054,5251,2464,128,28382,21413,13267,5379,2722
Raw Data (Em Spectrum),628,273,12185,7985,5256,2523,1319,158,29836,20446,11488,6187,2529,188,12110,9574,4971,3145,1228,188,31825,23719,12492,6002,485,182,13526,8698,5856,3011,1031,155,32238,21614,12710,6029,4416,197,13793,9189,5207,3257,1453,191,31846,24046,13062,6399,3648,155,28562,20741,13247,6866,2411,176,34727,25884,13947,6760,3090,115,30982,16261,11482,6284,3066,152,36850,24280,12343,6102,2954,415,31677,22915,14669,6475,3251,155,35458,26196,13923,8995,3303,237,30382,23215,12361,6557,2917,149,34379,25905,16082,6396,3136
Raw Data (Em Spectrum),629,270,15122,9812,6401,3166,1608,149,36110,24327,14156,7510,3049,195,14692,11693,6051,3944,1568,164,38303,29290,15423,7386,558,183,16405,10391,7414,3653,1267,173,38796,26775,15032,7680,5419,180,16817,11281,6305,4012,1710,192,38718,29408,15438,7897,4486,195,36134,26260,16204,8374,2832,170,42309,31379,16513,7904,3386,130,38610,20386,14190,7770,3643,152,44530,29848,14862,7640,3678,406,37829,27726,18255,8545,3829,152,43015,31261,17149,11026,3929,294,37144,28606,15156,7761,3771,158,42306,31958,19432,7659,3740
Raw Data (Em Spectrum),630,326,18834,11927,7718,3848,1946,155,44672,30523,17683,9151,3674,181,18311,14596,7747,4612,1804,190,48032,35839,19468,9151,558,174,20425,12656,9119,4596,1490,190,48767,32840,18587,9249,6371,225,20840,13927,7813,4827,2266,184,47503,36333,19728,9601,5309,181,44229,32466,20469,10555,3636,171,53512,39395,20970,10507,4643,190,47614,24637,17033,9740,4615,184,56153,37750,18653,9274,4517,390,47563,34710,22244,10187,4735,143,54821,38790,21335,13651,5220,295,45503,35648,18872,9873,4681,139,52698,39813,23946,9090,4954
Raw Data (Em Spectrum),631,314,23088,14772,9700,4724,2363,168,54596,37350,21856,11229,4659,223,23218,18271,9273,5771,2176,200,59323,43920,23722,11077,685,204,25837,15956,10964,5739,1710,175,59096,40389,22804,11106,7941,213,25924,17285,9709,5781,2771,200,59232,44844,24275,11597,6399,181,54751,40308,25255,13004,4504,165,66924,48931,26383,12561,5325,152,58983,30984,21177,12228,5813,178,68266,46296,22956,11791,5616,394,59326,42817,27789,12558,5661,136,67124,47913,26089,17340,6104,320,57273,43380,23606,11976,5668,149,65660,48766,29513,11239,5910
Raw Data (Em Spectrum),632,350,29059,18331,12318,5908,2982,165,68574,47215,27168,14166,5756,202,28335,22649,11640,7223,2754,225,73748,54898,29452,14000,843,185,31823,19849,13799,7114,2007,218,74816,50769,28510,14004,10143,231,32583,21234,12110,7104,3372,241,73080,55519,29819,14910,8334,202,68617,51172,31340,16189,5640,188,82707,61172,32679,15356,6651,145,73755,38623,26821,15488,6906,169,85709,57966,28751,14358,6952,433,73973,54590,34838,15339,7058,136,83993,60184,32907,21521,7792,304,71636,55209,29545,15270,7038,152,82066,61797,36590,13564,7270
Raw Data (Em Spectrum),633,372,36180,22668,15302,7167,3506,173,85326,58607,33841,17102,6663,210,35916,28688,14618,9069,3479,247,92665,68776,37371,17707,1073,240,39709,24485,17728,8896,2545,210,92513,63585,35736,17968,12564,206,41360,26631,15071,8649,4132,277,92256,70078,37523,18530,10212,217,86348,63088,40091,20296,6944,200,103642,76545,41499,19663,8673,186,92645,48635,33882,19393,8818,156,108258,71578,35357,18777,8920,420,92801,67991,44118,19142,8514,179,105453,74065,41154,26823,9485,321,89633,69300,37154,19162,9014,146,103148,76981,45874,16760,9190
Raw Data (Em Spectrum),634,367,45216,28158,19121,9072,4254,166,105230,72516,41924,21090,8470,225,44500,34534,17985,11063,4316,280,112641,84777,45580,21717,1243,242,49276,30550,21506,10983,3084,239,114963,79515,44216,21416,16002,277,50606,32842,18352,10616,5102,301,112187,86573,46140,23461,12132,208,106549,76857,49038,25102,8698,204,128352,94728,50388,24212,10360,204,113929,60637,41564,23558,11025,149,133119,89211,43756,22506,10741,440,114970,84576,54185,24064,10581,173,131028,91101,50720,33316,11696,336,111869,85635,45749,23309,10817,183,127798,95154,56545,20786,11177
Raw Data (Em Spectrum),635,510,55910,34292,23489,11087,5616,170,131191,91215,51466,26355,10672,202,55502,42619,22546,13380,5357,269,140860,104942,56494,26837,1594,241,62072,37304,27156,13624,3742,255,143422,97480,54585,27166,18896,223,63259,40489,22968,13068,6389,294,139812,106873,57214,28350,15169,237,132144,97731,61338,31139,10804,227,159013,116996,62468,30621,13589,266,143525,75628,51849,29292,13418,188,165873,111557,54074,27815,13185,386,142579,104793,66752,30320,13684,163,161539,114495,63290,40904,14705,340,137406,107032,57150,29243,13323,152,157794,117347,70175,25147,13939
Raw Data (Em Spectrum),636,453,67273,41714,28629,13556,6546,188,156668,108538,62218,31446,12683,293,66690,51899,26714,16662,6238,293,171274,126297,67823,32384,1857,257,73674,45230,32659,16373,4555,290,170904,116706,66125,32854,23437,268,75741,49270,27633,16293,7998,286,167953,128415,69431,34418,18538,253,159850,118639,74250,37796,13053,246,190489,141041,75741,37022,16380,286,172143,90778,62584,35809,16510,170,198823,132996,65491,33680,16369,485,172454,125218,80836,36294,16395,203,194667,138036,76538,49774,17756,373,166972,130226,69376,34766,16500,145,190224,142739,84134,30501,16930
Raw Data (Em Spectrum),637,558,82659,51346,34948,16631,8312,189,193274,133047,76751,39314,15965,292,82740,63910,32951,20314,7557,285,209624,154755,84286,40383,2181,333,90786,55753,39385,20358,5398,329,209443,144605,80973,39936,28355,303,93415,60730,34027,19278,9454,381,206825,158297,84733,41389,22366,307,197726,146532,91152,46587,15777,251,236131,174048,92564,44421,19692,263,212759,112656,78536,43652,20820,200,244339,164305,80108,40949,19615,458,212833,156592,99479,45334,20288,185,239969,168923,94284,61994,21907,414,206304,159461,85391,43796,20288,181,234260,174654,103472,37466,20964
Raw Data (Em Spectrum),638,684,100577,62762,42307,20081,9763,231,235097,162406,93178,47683,18728,261,99859,77463,40065,25265,9532,367,252007,188257,101178,48443,2526,314,110726,68434,48213,24176,6564,397,255152,176683,98982,48965,35028,302,113433,73697,41320,23522,11415,476,250649,191157,102555,51313,26797,310,242270,178426,111837,57741,19722,325,288868,213296,111856,54822,23673,299,259894,136396,95507,53132,25292,181,297142,200761,97220,51533,24358,412,259849,189335,123305,55049,24619,185,291024,205461,114514,74639,26040,427,252445,194855,104052,53994,24736,185,283352,212021,126455,45199,25401
Raw Data (Em Spectrum),639,735,120696,75266,49686,23645,11896,251,278314,192793,111268,56166,22245,402,120340,92659,47887,30006,11478,410,304173,223390,121272,57481,3230,329,132151,81471,57462,29054,7525,344,303712,207540,117361,58634,41693,375,135633,87951,49713,28060,13846,507,299078,227658,122696,60866,31932,317,286582,212980,133869,68917,23673,244,342028,254247,135412,65257,28961,302,309925,164756,113202,64104,30168,182,355417,239217,116572,59551,29050,495,313535,227317,147111,65555,29170,224,348226,244316,137134,89526,31275,398,301472,233712,124951,63605,29394,190,340036,252255,150322,53222,30814
Raw Data (Em Spectrum),640,865,142662,89932,60012,28121,14078,241,331020,229266,131859,66860,26829,352,142223,109980,57298,35368,13387,466,358727,267546,142152,67879,3635,490,158012,97036,69397,34285,9017,466,359809,249082,139592,68626,48376,328,160522,104358,59214,32543,16394,561,354463,270451,145293,72550,38300,415,342740,253496,160474,80919,28042,300,403993,299117,160494,77939,33792,395,368866,195159,135960,76556,36301,217,422374,283917,137545,72123,34376,553,368550,271928,174470,77805,34839,213,410323,289125,163149,105002,37699,494,357091,279839,147431,75091,35076,190,401247,298864,178986,63790,36040
Raw Data (Em Spectrum),641,1010,167386,104163,70165,32854,16526,263,385999,269027,152529,77151,31169,465,166044,128418,67179,41655,15714,477,416549,311094,166687,80755,4178,436,182227,113779,80174,39953,10700,562,417095,287929,163135,79248,57930,396,188942,122038,68448,38669,19225,610,411539,315833,169936,83830,44067,432,402036,296604,187973,95184,32507,315,471465,349524,187193,90109,39695,420,433694,228718,159466,89495,41731,238,490521,329495,160363,83253,40281,574,432154,317623,204499,91972,41299,222,476710,337289,189092,122830,43832,517,418921,323018,173495,88433,40786,214,468156,349415,208289,73991,41905
Raw Data (Em Spectrum),642,1062,194853,121485,80604,38380,18709,244,444137,306448,176727,90014,35748,384,191092,149029,77889,47625,18200,595,479385,358698,192757,92345,4951,500,213971,130887,92969,47018,12196,587,484414,329649,187071,91684,66371,376,218393,140590,79030,44679,22031,686,474855,361144,196787,96999,51353,479,463821,344093,217789,110963,37794,339,542462,402091,214768,104061,44976,479,501375,264299,184579,104053,48208,260,565155,380436,184413,95949,46472,558,503983,368484,238581,106851,46890,215,550500,390036,217636,141785,50092,608,486043,375749,200915,102768,47894,211,539834,404343,239366,84832,48518
Raw Data (Em Spectrum),643,1183,219139,137464,92283,44083,20850,253,498375,345935,198964,100553,40506,524,216723,167745,87524,54616,20318,672,541731,401057,215460,104484,5710,566,239470,148419,105452,52673,13633,638,543336,373352,210764,102267,74313,351,246522,160802,89082,50473,25078,743,533703,408520,220207,108032,57542,486,527668,391301,245420,126843,42879,372,608975,453789,241252,117581,50963,486,566492,298938,208331,116381,54704,245,634635,428623,207554,108395,51980,591,567700,414614,270224,118679,53877,262,619102,437428,244842,158589,56001,688,552361,425257,227995,115862,53826,228,601415,451792,268990,96114,53758
Raw Data (Em Spectrum),644,1324,244443,151994,102099,48429,24143,285,556329,385183,219372,111420,44995,513,243041,187150,98389,60080,23242,699,598961,447027,241475,115937,6121,647,266317,164663,116441,59567,15283,720,600436,415641,234246,114155,82877,466,275984,179062,99536,55999,28638,845,592356,452458,244581,121497,64596,556,588793,434587,273193,139959,48675,401,676860,505403,270635,131138,56914,466,634267,334791,234901,132751,61158,259,707197,475199,231666,119957,58147,669,638892,466826,301581,133640,60261,233,690978,488507,271567,177414,63125,759,614364,473750,255326,130517,60352,220,672866,504920,298993,106382,61434
Raw Data (Em Spectrum),645,1365,270711,168014,114410,53047,26444,265,611736,422788,243317,123768,49420,517,267353,207660,107906,67668,25516,786,661364,493836,265188,127776,6712,658,298224,183576,129852,65304,16604,782,665800,457375,259431,127966,91474,464,306646,197865,111291,62065,30951,875,654970,500865,270039,134253,71035,588,653738,484045,304070,157339,52632,376,750562,559621,297270,143399,62998,499,701805,375016,259625,145816,68074,283,779406,521756,254906,131951,63621,729,708906,517412,335348,149033,66629,305,756823,535453,298383,195421,68322,729,681481,529364,282508,146938,66581,203,742176,555808,330969,116504,66369
Raw Data (Em Spectrum),646,1542,293737,182548,123944,58342,28101,326,659033,457162,263483,132212,53892,651,288807,225892,117385,72689,27278,782,713852,531285,287174,136889,7237,624,322300,199175,141208,69849,18553,715,714815,492442,280385,136893,97557,498,331174,215222,120533,67094,33176,927,705579,539182,291037,144537,75050,620,709799,527056,332400,169205,57352,384,808482,599420,320233,154827,67732,421,764111,405709,283529,159431,73779,344,845294,567564,274759,142185,68379,697,767653,563240,363382,161154,73241,299,819613,578822,326285,211545,76172,850,737457,573299,308717,157382,72725,199,801987,598049,356100,126576,72305
Raw Data (Em Spectrum),647,1637,315084,196722,131893,62923,30520,347,706090,488627,281631,143142,57312,638,312693,242646,126675,78091,29581,888,760826,569678,306221,146584,7568,689,348232,213985,151043,76384,19872,786,765896,526613,300324,147014,105582,555,357201,230804,128914,71907,35858,990,753790,574443,310694,154540,81255,601,764961,565700,358450,182970,61846,426,864640,644494,343602,166174,72041,555,823102,436920,304917,170873,80099,319,902076,606883,293209,151746,73766,722,828486,609223,394179,175471,78156,241,879161,622767,348681,226345,80131,842,798363,617845,332292,168204,77938,245,854769,642297,382226,134890,77050
Raw Data (Em Spectrum),648,1770,334855,208363,140002,66377,32772,336,744030,514413,294490,149465,60422,715,331035,256368,132329,83859,30490,914,803851,598641,324412,154857,8360,724,365393,226124,161247,80683,21146,852,807889,552671,315394,154909,109682,573,376787,243289,136651,75750,37586,999,791936,607375,327091,163150,85256,724,813201,601368,380224,194384,66543,393,911929,677198,363452,174062,76882,563,875104,463458,322736,181910,84233,308,950235,639555,307650,161053,77312,833,882499,645155,418061,183965,82198,260,924847,653392,366486,239360,84366,866,845660,654798,352720,181821,82056,260,904563,676891,402382,142738,80725
Raw Data (Em Spectrum),649,1638,349231,216362,145312,69615,34172,425,772472,536072,308010,154008,62702,739,344680,269167,140269,87107,32689,792,834136,622035,335386,159862,8541,754,381988,235192,167611,84131,22091,850,839793,573718,326150,160350,114541,594,394934,254129,142805,79919,39501,1048,822224,626484,338333,167867,88653,758,849261,628918,396262,203310,68837,420,950431,704872,377857,182591,79378,642,918031,484857,341540,190503,87909,377,989294,663782,322029,167447,80272,773,917814,675728,436632,192402,86658,338,962068,679167,381872,245999,86363,918,889211,688747,366225,187909,85272,237,937494,703505,418484,147095,83610
Raw Data (Em Spectrum),650,1757,360028,221460,150360,70635,34511,376,782947,542187,313393,157422,64246,742,353135,273706,143046,88162,34145,930,848401,631102,342461,162113,8640,846,390239,238928,171391,86104,22397,940,857441,582730,333267,161103,116987,599,405158,260291,146713,80997,40959,1118,839736,641063,346524,171070,90498,732,874548,647491,408612,209594,71338,480,967402,715400,382831,186257,80992,683,939646,497126,346370,193956,91191,312,1008544,670626,327734,169268,81319,683,945455,692077,445370,197321,88954,287,979239,693221,388368,253769,89741,881,908698,707151,377932,192596,88905,257,955679,717488,425809,149920,85683
Raw Data (Em Spectrum),651,1928,365551,229620,153865,71543,34878,365,805061,556649,321208,161309,64931,690,362917,281199,146923,90994,34371,858,870316,647714,349855,167353,8728,822,403535,248655,175387,88264,23130,802,874320,595029,338899,165943,120154,568,413436,267432,149785,83748,42531,1000,853291,655570,351499,176412,92035,716,902850,666328,419059,216329,72863,467,992601,733233,391701,189327,82910,599,966045,510637,357132,201034,93892,376,1029154,690758,335717,174169,83327,847,971541,711732,459920,205302,90984,320,1004511,709235,395568,258317,92669,974,934755,729189,387184,198766,90578,264,978428,732711,438850,152368,87640
Raw Data (Em Spectrum),652,1833,369642,229426,154039,72784,35882,359,804665,556881,318865,162369,65391,708,363191,280739,147401,90397,34414,864,862663,646508,350035,165144,8455,745,403952,248278,175317,88976,22049,1036,873534,592170,341528,167888,121406,646,416910,268109,151649,83858,41822,1093,862127,657275,352107,175832,91214,729,904589,669259,424615,215900,73180,495,990410,736978,391488,189181,82712,557,981554,517053,357767,200859,95041,422,1031368,688054,331105,174604,83967,734,981846,719349,463158,206378,90746,307,1007716,710514,395892,257634,91240,880,942783,731610,390030,200141,92172,219,977623,734453,434002,154257,87752
