Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),588,214,1315,823,598,324,228,131,3028,2272,1560,1473,442,147,1216,874,534,406,219,120,3264,2673,1601,725,134,110,1269,912,619,390,442,115,3259,2272,1465,782,463,142,1234,931,570,391,249,139,3166,2776,1382,917,589,98,1555,1102,774,519,283,138,2104,1639,992,483,301,118,1570,843,674,391,236,95,2218,1486,1334,457,288,465,1491,1357,900,576,409,113,2069,3114,902,658,316,246,1581,1323,743,419,295,120,1974,1886,1454,1228,311
Raw Data (Em Spectrum),589,212,1308,910,684,315,225,121,3306,2285,1649,1435,449,152,1235,958,590,384,209,129,3487,2841,1773,815,147,109,1347,865,676,429,408,109,3547,2343,1593,734,565,181,1381,966,633,408,230,147,3422,2869,1579,973,655,136,1689,1303,850,532,325,139,2309,1926,1079,486,300,136,1805,1066,757,461,272,128,2446,1685,1347,507,307,439,1811,1402,928,595,398,131,2295,3313,1112,728,341,240,1805,1399,799,447,297,106,2393,2002,1603,1286,293
Raw Data (Em Spectrum),590,258,1411,982,686,368,245,139,3372,2630,1749,1584,441,159,1415,1091,636,436,252,114,3889,3002,1888,839,156,153,1526,945,708,436,428,141,3719,2531,1693,814,572,153,1480,1046,685,410,260,139,3504,3024,1682,1036,646,119,1987,1514,931,628,316,144,2630,1995,1036,599,342,133,1970,1116,777,537,321,139,2504,1792,1504,567,341,425,1972,1571,1093,680,527,133,2591,3482,1088,715,356,200,1918,1514,866,453,285,117,2650,2162,1703,1346,398
Raw Data (Em Spectrum),591,228,1431,926,756,416,258,146,3719,2769,1933,1518,515,155,1472,1067,608,488,233,148,4032,3051,1953,921,167,155,1567,1040,780,425,418,133,3930,2709,1746,857,632,151,1557,1088,678,423,275,163,3969,3272,1756,976,682,150,2140,1530,1039,639,369,158,2855,2318,1254,649,381,138,2237,1163,931,564,316,133,3059,2035,1608,600,376,437,2235,1766,1120,676,454,161,2939,3602,1200,823,410,223,2279,1674,1005,622,347,150,2820,2454,1893,1402,415
Raw Data (Em Spectrum),592,212,1561,1119,757,437,234,151,3923,2844,1892,1556,520,184,1579,1177,620,491,282,126,4255,3432,1937,919,167,117,1575,1110,842,501,422,155,4295,3016,1900,978,642,189,1663,1141,709,499,269,176,4217,3469,1902,1109,706,148,2258,1813,1189,737,406,179,3209,2431,1372,720,410,160,2448,1399,1014,596,391,157,3217,2291,1671,666,427,513,2493,1933,1312,699,563,157,3131,3868,1308,887,434,300,2327,1949,1105,632,389,120,3028,2586,1888,1436,472
Raw Data (Em Spectrum),593,246,1648,1131,792,436,300,169,4158,3108,2029,1729,572,195,1595,1245,683,525,310,150,4432,3595,2055,1032,197,183,1709,1086,802,518,474,148,4437,2992,1965,1009,703,176,1721,1168,774,500,312,159,4529,3689,2022,1192,753,171,2418,1947,1269,757,439,190,3344,2701,1522,778,432,180,2526,1471,1060,668,406,152,3490,2498,1824,767,424,488,2718,2090,1506,744,554,164,3340,4135,1421,1027,469,253,2697,2090,1118,708,425,171,3224,2800,2171,1581,445
Raw Data (Em Spectrum),594,267,1725,1137,805,427,323,166,4509,3184,2174,1657,599,175,1597,1316,736,560,288,173,5019,3748,2232,1056,198,162,1750,1231,823,526,505,152,4876,3287,2091,1005,728,200,1849,1318,844,498,325,178,4790,3829,2091,1183,805,145,2706,2052,1349,867,429,178,3732,3011,1501,846,431,157,2902,1579,1201,766,413,164,3797,2642,1872,807,457,493,2935,2208,1510,839,618,187,3887,4099,1559,1153,456,237,2868,2246,1190,691,424,171,3688,2995,2225,1641,482
Raw Data (Em Spectrum),595,259,1846,1193,884,479,309,206,4877,3376,2204,1615,653,222,1760,1381,803,585,329,195,5170,3848,2394,1170,181,174,1871,1209,945,558,521,199,5021,3467,2227,1156,792,222,1902,1369,823,537,320,193,4986,4168,2295,1317,843,170,2946,2272,1397,905,445,208,3973,3091,1680,932,483,184,3097,1703,1195,730,469,165,4082,2771,2009,801,544,485,3068,2458,1648,986,642,193,3907,4374,1655,1170,510,288,2980,2485,1386,803,485,181,3816,3123,2313,1716,540
Raw Data (Em Spectrum),596,297,1815,1246,989,504,308,187,5049,3689,2275,1641,656,181,1873,1415,795,621,342,208,5393,4225,2439,1212,225,199,1995,1194,908,641,525,181,5499,3757,2417,1185,832,230,1917,1419,895,582,344,196,5330,4343,2399,1386,879,183,2955,2312,1571,926,495,226,4209,3277,1770,937,516,228,3266,1828,1308,801,478,187,4475,3022,2094,868,529,498,3317,2636,1701,969,572,181,4377,4453,1814,1230,542,279,3315,2582,1442,817,525,163,4290,3437,2469,1792,605
Raw Data (Em Spectrum),597,266,1983,1356,1029,506,374,194,5403,3724,2502,1809,738,189,1877,1479,851,649,361,202,5696,4471,2557,1293,215,229,2086,1370,998,618,536,202,5643,3888,2475,1315,851,244,2040,1403,923,651,391,218,5689,4550,2600,1490,859,209,3286,2453,1658,982,527,198,4570,3590,1978,1020,598,207,3431,1983,1420,879,451,178,4720,3058,2271,926,609,538,3471,2726,1844,989,677,211,4553,4671,2016,1361,545,332,3361,2756,1598,908,550,183,4304,3741,2664,1785,582
