,,A 1-6 Tetraphenyl porphyrin ,,,,,,A 7-12 C7SHU,,,,,,B 1-6 Tetraphenyl porphyrin ,,,,,,B 7-12 C7SHU,,,,,,C 1-6 Tetraphenyl porphyrin  ,,,,,,C 7-12 C7SHU,,,,,,D 1-6 Tetraphenyl porphyrin ,,,,,,D 7-12 C7SHU,,,,,,E 1-6 C5SHU,,,,,,E 7-12 C8SHU,,,,,,F 1-6 C5SHU,,,,,,F 7-12 C8SHU,,,,,,G 1-6 C5SHU,,,,,,G 7-12 C8SHU,,,,,,H 1-6 C5SHU,,,,,,H 7-12 C8SHU,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),612,243,2644,2176,1170,790,389,785,7098,4954,2918,2848,891,191,2828,1944,1201,765,506,295,6518,4950,2790,1840,792,227,2810,1872,1174,765,382,281,7208,5301,2792,1701,873,263,3289,2135,1251,882,520,396,7321,5262,2704,1687,821,225,8147,5532,2985,1663,902,367,5951,4774,2675,1516,718,308,7418,5017,3267,1957,961,382,7325,4279,2403,1285,758,385,7528,6081,3451,2281,673,391,6131,5069,2502,1757,783,1091,8988,6072,3426,1924,976,452,6025,4756,2873,1622,738
Raw Data (Em Spectrum),613,258,2824,2157,1277,768,407,759,7204,5063,2881,2995,884,238,2685,2029,1170,715,519,327,6582,5189,2966,1883,772,224,2863,1958,1254,791,487,308,7179,5346,2908,1727,868,228,3084,2212,1156,955,548,402,7350,5257,2966,1643,893,244,8437,5502,2915,1752,964,350,6141,4972,2605,1645,768,313,7402,5200,3153,1807,914,356,7697,4432,2351,1298,795,363,7446,5943,3313,2344,633,327,6287,5358,2577,1704,768,1037,8855,5974,3388,1825,1120,436,6189,4901,2771,1634,713
Raw Data (Em Spectrum),614,262,2859,2132,1404,779,366,725,7253,5142,3061,3131,857,225,2899,2044,1268,742,480,329,6991,5045,2922,1912,867,183,2989,1972,1240,723,452,306,7503,5420,2936,1583,908,220,3179,2238,1177,943,556,431,7540,5350,3005,1562,869,229,8451,5376,3100,1770,1043,355,6328,5119,2681,1631,769,301,7538,5332,3133,1858,934,320,7668,4493,2544,1309,779,401,7624,6101,3545,2324,739,352,6414,5049,2586,1840,790,1166,8963,6236,3580,2092,1147,482,6277,4989,2690,1608,748
Raw Data (Em Spectrum),615,209,2785,2224,1351,810,367,652,7370,5247,2999,3084,878,228,2966,2043,1342,732,525,325,6843,5197,3277,1930,866,226,3140,2093,1200,704,424,261,7554,5440,3034,1723,812,226,3277,2272,1306,932,570,374,7770,5416,3100,1605,873,228,8507,5473,3147,1831,996,363,6320,5176,2721,1676,591,322,7737,5087,3281,1827,920,325,7900,4545,2483,1335,791,377,7801,6144,3451,2375,636,358,6864,5513,2665,1824,793,1047,8945,6075,3569,1862,1012,478,6339,5080,2949,1622,824
Raw Data (Em Spectrum),616,230,2931,2251,1321,745,383,700,7506,5493,3161,3049,911,209,3080,2212,1294,784,489,297,6986,5254,3310,1934,844,189,3089,1934,1280,786,391,280,7897,5740,3027,1819,906,266,3389,2600,1208,975,606,446,7784,5630,3135,1721,966,240,8956,5790,3183,1881,999,355,6644,5385,2763,1611,736,288,7820,5347,3379,1951,992,314,7988,4829,2584,1378,844,331,8187,6315,3413,2406,695,333,6931,5615,2696,1889,786,1102,9338,6428,3523,2100,1090,434,6718,5064,2955,1778,798
Raw Data (Em Spectrum),617,241,3002,2388,1463,824,351,717,8134,5524,3149,3046,866,210,3095,2200,1366,776,473,278,7185,5480,3310,1934,876,215,3334,2076,1249,773,471,317,8100,6007,3102,1817,920,227,3527,2461,1322,968,495,417,8097,5858,3171,1724,898,207,9141,5637,3280,1902,910,310,7041,5622,2993,1785,773,271,7856,5515,3527,1893,1015,312,8337,4907,2783,1329,778,378,8497,6410,3612,2476,678,327,7449,5734,2927,2005,854,1073,9590,6454,3693,2054,1149,415,6900,5444,3166,1768,761
Raw Data (Em Spectrum),618,207,3280,2461,1428,906,470,684,8545,5940,3312,3200,990,184,3327,2346,1383,791,525,241,7716,5733,3377,2078,811,219,3397,2215,1316,824,478,311,8386,6375,3394,1826,933,209,3755,2667,1336,963,607,413,8413,6047,3369,1879,928,241,9336,5848,3439,1881,973,351,7318,5915,3090,1891,849,261,8363,5813,3392,2020,951,271,8856,5193,2812,1374,851,328,8503,6900,3757,2483,732,333,7619,6099,3016,1943,814,1058,9677,6783,3857,2127,1194,425,7617,5741,3215,1918,866
Raw Data (Em Spectrum),619,207,3430,2588,1510,855,395,658,8742,6207,3470,3185,1067,182,3508,2484,1487,842,506,271,8231,6101,3817,2150,817,220,3713,2345,1490,845,460,306,9033,6579,3531,2079,992,210,3918,2868,1358,1057,599,364,9066,6685,3617,1892,1040,190,9999,6354,3554,2084,1073,339,7912,6331,3579,1976,873,268,9051,6372,3584,2067,1057,324,9665,5638,2937,1634,959,324,9200,7093,3893,2535,825,319,8153,6534,3190,2185,840,1037,10128,6956,4070,2264,1171,425,7867,6192,3443,2019,893
Raw Data (Em Spectrum),620,232,3678,2840,1653,923,423,668,9654,6719,3961,3422,1029,181,3652,2762,1622,861,573,279,8813,6726,3869,2424,972,196,3928,2419,1511,918,477,276,9754,7260,3835,2184,1034,217,4047,3048,1594,1078,668,418,9690,6958,3827,2063,1109,199,10438,6920,3827,2159,1052,348,8452,6842,3706,1919,861,273,9548,6520,3858,2203,1042,263,10422,6401,3312,1645,954,351,9615,7614,4207,2646,756,307,9091,7123,3469,2360,864,967,10211,7624,4312,2448,1243,454,8457,6572,3827,2177,990
Raw Data (Em Spectrum),621,202,4233,3045,1767,936,426,631,10544,7407,4031,3318,1196,181,4186,2927,1672,920,552,250,9992,7386,4241,2506,1047,216,4404,2840,1651,920,492,287,10902,7836,4131,2340,1107,189,4418,3476,1683,1204,634,421,10899,7747,4144,2227,1165,237,10947,7281,4078,2275,1133,352,9406,7373,3981,2196,960,292,10360,7089,4318,2324,1165,334,11283,6803,3847,1830,1023,337,10310,8196,4536,2929,834,318,9858,7883,3863,2700,962,989,11309,8222,4681,2645,1328,426,9406,7460,3978,2319,1047
Raw Data (Em Spectrum),622,220,4707,3372,1980,1120,494,604,11751,8033,4608,3933,1118,167,4699,3538,1840,1005,626,261,10991,8060,4898,2953,1112,218,4820,3213,1808,1024,545,258,12039,9030,4610,2523,1198,234,5008,3699,1714,1405,760,476,12176,8678,4755,2388,1284,218,12329,8267,4591,2485,1220,414,11080,8452,4430,2499,1099,277,11652,7839,4613,2644,1295,368,13317,7536,4186,2106,1131,325,11845,9022,4970,3068,897,309,11074,8825,4363,2996,1061,940,12286,9263,5282,3006,1480,422,10943,8412,4691,2601,1080
Raw Data (Em Spectrum),623,198,5277,3839,2301,1208,516,519,13611,9479,5511,4176,1469,192,5198,3877,2142,1156,681,277,12927,9597,5626,3182,1365,209,5780,3674,2120,1227,601,264,13894,10220,5308,2820,1354,187,5722,4231,1955,1543,810,489,14240,9800,5503,2834,1384,200,14479,9360,5357,2718,1474,428,12746,9915,5017,2935,1315,269,12971,9078,5450,2996,1411,357,14987,9039,4816,2353,1291,360,13367,10190,5681,3542,920,346,12708,10368,5192,3309,1203,1021,13685,10379,6098,3215,1793,409,12367,9775,5280,3056,1260
Raw Data (Em Spectrum),624,210,6008,4352,2601,1373,571,543,15648,11070,6159,4391,1499,176,6268,4293,2595,1348,755,291,14885,11263,6329,3739,1477,221,6656,4086,2458,1270,666,288,16297,12144,6228,3530,1633,243,6419,4864,2349,1773,968,515,16213,11520,6382,3479,1480,232,15903,10709,6119,3065,1516,445,14499,11252,5898,3376,1320,249,15458,10373,6080,3457,1591,375,17276,10508,5571,2746,1410,372,15072,11674,6609,3957,1136,327,14952,12091,5890,3941,1373,948,15287,11500,6740,3650,1933,540,14239,11003,6298,3524,1415
Raw Data (Em Spectrum),625,197,7315,5398,3029,1631,636,567,18912,13029,7469,4748,1788,200,7260,5008,3143,1574,867,334,17826,12647,7634,4537,1677,220,7429,4965,2954,1540,716,291,18853,13879,7272,4001,1768,200,7486,5852,2812,1990,1081,553,19605,13369,7503,3967,1794,228,18912,12579,6927,3693,1911,522,17421,13306,7252,3930,1722,345,17532,12137,7252,4018,1759,428,20581,12279,6670,3220,1797,399,18043,13660,7537,4608,1335,382,17897,13968,6930,4494,1546,964,17974,14344,7968,4469,2193,465,17381,13828,7335,4089,1745
Raw Data (Em Spectrum),626,221,8554,6368,3549,1881,807,544,22856,16008,8767,5576,2105,163,9070,6167,3648,1724,1098,274,21086,16020,9172,5421,1989,268,9471,6033,3672,1785,783,373,23191,17050,8668,4755,2227,274,9262,6866,3433,2475,1205,670,23534,16567,8997,4705,2096,265,22606,15137,8269,4516,2233,641,20908,16360,8653,4775,1994,341,21537,14590,8615,4571,2175,454,25421,14992,8260,3736,2117,434,21255,16503,9372,5587,1424,376,21601,17344,8493,5500,1764,929,20477,16957,9576,4999,2650,527,20838,16136,9099,4851,1904
Raw Data (Em Spectrum),627,175,10333,7445,4241,2178,909,529,27107,19320,10381,6208,2476,208,10639,7299,4253,2071,1198,345,25142,18898,10806,6318,2274,232,10948,6963,4158,2155,954,377,27065,20366,10366,5804,2559,232,10943,7864,4080,2803,1424,692,27805,19493,10550,5658,2529,315,25698,17617,9682,5335,2603,666,24878,19225,10292,5673,2158,422,24863,17133,10541,5810,2544,505,29645,17769,9688,4532,2479,470,25618,19362,11162,6556,1676,446,25710,20595,9816,6434,1997,999,23534,19772,11162,5959,3138,669,24916,19094,10654,5789,2458
Raw Data (Em Spectrum),628,188,12853,8956,5143,2781,1058,585,32887,23012,12749,6930,3021,206,12974,9040,5250,2447,1328,379,30891,22766,13159,7739,2766,249,13335,8501,4807,2535,1119,382,33942,24932,13016,7006,3336,267,12813,9677,4919,3384,1668,864,33775,23801,13247,6669,2927,318,31664,21860,11633,6062,3045,625,30730,23461,12110,7021,2660,406,30579,20904,12473,6887,2972,600,36326,21769,11706,5635,2872,494,31552,23297,13317,7482,2020,470,31925,25014,12434,7958,2426,1040,28741,24343,13480,7297,3660,694,30197,23892,13098,7157,2696
Raw Data (Em Spectrum),629,214,15525,11225,6367,3114,1171,576,40407,28469,15556,7987,3786,189,15708,11166,6125,3160,1667,384,37829,28299,16241,9635,3346,270,16544,10432,6079,2962,1245,415,41838,30781,15463,8399,3668,322,15702,11377,5871,4263,1980,1035,41733,29008,15779,8303,3427,325,38322,26248,14729,7324,3647,855,37432,29176,15590,8325,3380,511,37498,25486,14809,8077,3798,682,44881,26877,14400,6643,3578,589,37783,28342,16259,9459,2355,536,39524,30709,15091,9654,3030,1078,34619,29204,16789,8997,4616,809,37643,29235,15733,8582,3476
Raw Data (Em Spectrum),630,203,18983,13452,7972,4006,1388,520,50733,34945,19144,10032,4514,263,19677,14051,7661,3962,2108,441,47449,34942,20682,11683,4361,304,20175,13005,7496,3620,1636,526,52178,38064,19306,10415,4849,323,19607,14485,7277,5081,2472,1024,52523,36587,19911,10390,4041,349,47595,32476,18162,9002,4390,1055,47179,36301,19293,10472,4098,574,46210,31601,18463,10434,4735,751,55997,33474,18073,8330,4285,678,47050,35379,20564,11322,3046,602,48359,37908,18555,12114,3794,1185,42622,36444,20999,10878,5556,881,46603,36460,19572,10758,4380
Raw Data (Em Spectrum),631,239,23573,16936,9434,4746,1746,524,62637,43784,23987,11817,5694,262,24304,17100,9137,4410,2499,546,58796,43066,25096,14330,5196,349,25578,16357,9283,4307,2021,598,65091,47615,24055,12597,5652,365,24149,17796,8875,6382,2871,1261,64325,44693,24837,12952,5264,488,59177,40354,22167,11682,5548,1290,58314,44463,23877,12781,5290,640,57997,39710,22490,12713,5574,831,70548,41689,22707,10776,5267,715,59025,42685,25028,14517,3718,627,60322,47321,23027,14747,4740,1209,51608,45061,25966,13796,7010,1035,57632,44896,24708,13162,5231
Raw Data (Em Spectrum),632,208,29499,20840,11706,5987,2096,496,77735,56018,29994,14652,6780,327,30877,21379,11931,5878,3151,605,73474,54815,31932,17779,6529,360,32143,20520,11260,5518,2456,664,80185,59238,30084,16080,7478,469,29803,22179,10956,7957,3643,1752,80641,55780,30570,15673,6202,549,73302,50785,27971,14073,6840,1355,73044,55252,29459,16215,6483,674,72373,49433,28986,15382,7065,1025,86618,51840,27968,13250,6625,843,73279,53433,30543,17597,4486,850,76753,59916,29224,18963,5676,1359,64971,57367,32213,17171,8741,1289,73619,56868,30976,16989,6463
Raw Data (Em Spectrum),633,247,37432,26600,14709,7451,2670,501,98035,69277,37384,17359,8747,321,38359,26911,14791,7444,3925,646,93528,68065,39428,22458,8284,369,39695,25906,14337,6730,3069,782,101274,73750,37997,19971,9102,552,37557,27652,13701,10290,4568,1946,100627,70444,38616,19565,7827,524,92269,63957,34559,17447,8399,1908,92364,70055,37635,20347,7722,873,89383,61325,36071,19514,8720,1178,109144,65707,34799,16330,8693,1147,91359,66793,39167,22248,5695,924,95203,75147,37289,23832,7295,1367,80578,71192,40088,21345,10754,1546,90496,70549,38731,21172,8043
Raw Data (Em Spectrum),634,228,45999,32447,18470,9038,3198,554,121398,86293,46410,21018,10447,381,47951,33233,18363,9045,4642,772,113925,85192,49121,27639,9945,547,49557,31762,17760,8117,3617,928,124718,91956,46383,25095,11156,582,46355,33285,17040,12361,5580,2271,124894,88380,47792,24022,9633,820,113032,79339,43233,21644,10287,2160,113347,87369,46525,24811,9965,983,111017,75791,44791,24794,10713,1360,134732,81689,43621,20170,10318,1236,113056,83749,48273,27459,6850,1073,118466,92887,45770,29858,8930,1693,99190,87629,48754,25999,13555,1696,112997,88370,48401,25812,9848
Raw Data (Em Spectrum),635,262,57238,40110,22868,11246,3912,439,149169,105729,57720,25848,12891,379,58238,40929,22946,10920,5552,1020,140687,104995,60357,34522,12366,542,61586,38597,21961,10155,4248,1169,154116,112206,56820,31351,13819,772,56537,41864,20611,15690,6732,2976,153896,109013,59258,30582,11916,893,140378,97568,53497,27067,12681,2502,141736,107653,57880,30898,12139,1283,137558,94284,54585,29944,13652,1772,167279,101225,54312,25306,12891,1527,138894,102752,59889,33831,8479,1403,146717,115455,56530,36383,10967,1920,122432,108159,61505,33505,16880,1970,140446,109056,59191,32513,12345
Raw Data (Em Spectrum),636,272,68598,48333,26960,13628,4902,518,181390,128198,70727,31029,15917,550,71683,50465,27644,13487,6966,1115,171534,126909,72751,42735,15265,673,74492,47808,26840,12300,5446,1390,186748,137286,69289,37496,16594,920,69941,50103,25236,18661,8313,3537,188186,131855,71440,37449,14555,1072,168804,116949,64785,33596,15855,3230,170177,130305,70133,37854,14950,1484,166755,113871,66643,36250,16000,2118,202408,121782,65799,30117,15696,1828,169510,125316,72523,40838,10203,1506,178247,141367,68515,44437,13168,2031,148880,129856,75256,39545,20131,2379,170039,131037,71473,39089,14827
Raw Data (Em Spectrum),637,318,84826,59728,32796,16509,5738,518,223168,157838,86689,37791,19385,562,88042,60645,33772,16794,8463,1257,209576,155036,89814,51867,18513,795,93267,58116,32596,15023,6722,1601,229372,167403,86053,45992,20155,1117,84881,60501,31265,22266,10212,4285,228577,160848,87769,45363,17711,1268,207657,144476,78947,40753,19341,3586,208959,160205,86382,46181,17821,1760,203150,138068,81469,44901,19585,2370,248491,148924,80685,37081,19348,2211,207653,151804,88815,49379,12471,1771,218198,172162,84467,54814,15858,2311,179109,159672,91581,48351,25065,3013,208167,162098,87591,48824,18306
Raw Data (Em Spectrum),638,378,103436,73021,40859,19817,7052,495,272508,192534,105205,45721,23605,567,105822,75021,41925,20059,9903,1494,256260,189146,109841,63882,22872,915,111255,70812,40428,18255,7887,1917,279094,204081,106377,56100,25178,1221,103103,75365,38023,27617,12043,5184,277692,196882,106933,55068,21288,1463,255073,176143,95575,49415,23492,4647,255360,194345,105338,56346,22256,2110,249019,170739,98929,54682,23915,2991,302526,181950,98350,44534,22751,2817,252664,186306,107674,61273,15374,2182,264730,208815,102271,67319,20025,2874,219561,195014,111694,59015,30128,3206,254135,196632,107141,58849,22308
Raw Data (Em Spectrum),639,325,123361,86926,50247,23754,8414,472,324360,229220,125911,53988,28381,689,127702,88806,48726,24303,12515,1930,305151,225007,130808,74298,26938,971,132437,85955,47159,21978,9563,2464,332801,243871,125477,67288,29917,1497,124750,88640,44985,32810,14570,5846,332163,235534,128611,66418,25170,1722,299511,209571,114289,59114,28555,5153,301496,231963,125918,66925,25920,2499,293940,202716,118889,63768,29093,3617,360130,216349,116018,54317,27448,3091,298969,220295,128677,71625,17846,2604,315690,248138,120932,79250,23139,2921,260828,233940,132731,70434,36188,3989,300900,232996,128418,69482,26806
Raw Data (Em Spectrum),640,383,145716,102568,57657,28750,9795,502,384837,270561,148913,64236,33357,798,151382,105235,58029,28410,14268,2142,359545,266875,155424,88691,31875,1150,158210,101568,56018,26079,11111,2639,392415,288654,148186,78892,35419,1656,146293,104800,53919,38987,17536,7160,392554,277686,149968,77283,30113,2114,353697,247660,136743,70329,32966,6279,356798,275655,148774,79480,30836,2971,350729,240077,139303,77501,33831,4137,426859,258620,138975,64256,33337,3853,354036,261461,153488,85119,21084,2920,372169,294151,144610,94341,27710,3596,308672,274181,156784,82914,42536,4832,357454,276729,152180,82369,31322
Raw Data (Em Spectrum),641,400,171661,120899,67951,32991,11706,465,444345,313587,173705,73652,38539,925,178227,123137,67995,32975,16821,2554,418942,310245,179944,102696,37266,1386,183924,118608,66500,30527,13059,2865,455828,336639,171895,93726,41311,1960,171952,121780,62403,45101,20292,8400,458063,323171,176510,91285,35573,2457,412202,289420,158064,81184,38224,7402,414800,320064,172449,93600,35796,3338,406961,279565,163103,89669,40155,4845,495483,298099,160343,73866,38442,4590,412250,306229,177689,98797,24680,3451,433892,344239,168824,109335,31824,3948,359634,319971,181447,97722,49012,5431,414574,324088,176712,95382,36353
Raw Data (Em Spectrum),642,413,198299,140103,77782,38207,13373,467,509475,360834,199014,84770,44840,984,204432,142805,78410,38298,19440,2930,483369,358565,207676,119881,42521,1562,213144,136768,75777,34797,14626,3496,525465,387606,200820,106119,47286,2385,199378,141210,73161,52671,23697,9621,527899,372774,201965,104322,40401,2777,474004,330856,182926,93011,44691,8431,480621,369587,199221,106334,41153,3996,465834,322020,188195,102611,45286,5178,569416,342233,186604,86394,43257,4794,473851,352846,205313,114806,27685,3897,498263,396545,193142,126928,36917,4463,415150,367037,210656,112112,56490,6245,479071,371740,202626,110794,42525
Raw Data (Em Spectrum),643,439,223573,157647,88681,43310,15491,498,576683,407460,223020,96422,50261,1077,230440,160735,89069,43673,21818,3243,540097,404757,233249,135222,48923,1664,240259,154484,85471,39754,17273,3864,585434,435342,221588,119460,52141,2504,223493,159278,81552,58928,26066,10799,587904,417553,227243,117302,44826,3070,534754,372770,204243,105109,49463,9490,537795,414521,222116,119676,45620,4489,524530,361409,210126,114489,50654,5921,636891,384253,207989,96274,49594,5554,532398,395943,229895,129068,32072,4456,558185,445132,218163,142355,42246,5022,463566,411409,235538,125196,63472,7002,537246,414927,227961,124875,47715
Raw Data (Em Spectrum),644,526,248934,174947,98613,48325,16720,427,637934,451207,247920,106153,55982,1307,256983,179006,98764,48619,23772,3563,599107,446031,260442,150381,52786,1928,267396,172095,95840,43990,18717,4478,652967,479595,248817,131927,59062,2778,248304,176538,90957,66257,29112,11806,653890,461525,252242,130568,50987,3524,588893,410681,227456,115893,55335,10249,595570,457811,248377,130689,51284,4719,579196,397403,234686,126794,57336,6893,706986,425601,232956,107883,54817,6005,590157,440539,257789,141969,35639,4633,618268,490340,240850,156618,46268,5470,516019,456810,261568,138838,71373,7773,597507,461521,251988,138570,53027
Raw Data (Em Spectrum),645,504,277458,196128,110071,52747,19017,539,701355,496836,271484,117110,60921,1330,283860,198479,108618,53865,27306,3950,661408,491353,285526,164435,58314,1957,296625,189059,104977,47763,20895,4692,720897,528728,273168,144181,64491,3203,274555,194564,100443,72294,31684,12866,721516,506985,278792,142436,55822,3742,647278,455210,249246,127860,60620,11603,657025,504935,271710,145507,56586,5231,636767,440068,258048,139754,62587,7286,779114,468651,254769,118068,60280,6601,651281,484177,282018,157348,38422,5214,679338,540574,265586,171814,50829,5890,571520,506468,287152,152316,77684,8435,655995,507272,278730,151268,57625
Raw Data (Em Spectrum),646,565,295858,210401,119118,57311,20191,493,748077,532633,291426,124541,66497,1488,306415,214454,117331,58256,29060,4066,707370,525125,305117,174393,62530,2058,322653,203992,114482,51404,22746,5156,769548,566972,292308,156473,69220,3306,297478,209297,108158,77782,34868,13890,771257,550019,299106,154176,58546,3989,696406,485467,268137,137318,64593,12239,704303,543674,292037,155958,60966,5848,690210,471215,277617,151873,67194,8254,839546,504274,274890,125848,64738,7255,697691,515613,300997,167654,41363,5694,730650,581640,285650,185375,54873,6102,616458,538242,310839,164425,84123,9177,702852,543864,299983,162842,62381
Raw Data (Em Spectrum),647,661,317517,222973,125833,61739,21412,500,802369,567823,311828,132360,69867,1624,328291,229476,128419,62119,31034,4362,754586,561107,324299,188030,66504,2128,342602,220299,122345,55915,24340,5389,820002,608284,310981,166789,74534,3377,316213,225332,115851,82865,37316,15015,822403,583833,317772,162728,63839,4464,742536,520627,285170,146302,68937,13137,751977,576025,309635,168769,64043,6120,731527,502194,297095,159873,71601,8377,895013,540009,290633,134571,69057,7697,741620,554871,320889,177414,44323,5902,774800,618946,303492,196514,58113,6906,659537,578213,330571,175855,89128,9344,747610,580447,318165,175036,66596
Raw Data (Em Spectrum),648,705,334301,236188,131737,64091,22538,440,839577,594452,326594,139462,74122,1472,346481,241059,131931,64735,32516,4729,790048,585136,339385,195828,70571,2499,361033,231388,129583,58335,25302,5666,860160,633832,325951,174228,77672,3754,336460,237533,122407,86316,38888,15418,861873,607157,334078,173300,67627,4587,781527,543128,300189,152845,72716,13771,785408,603720,325345,175487,66941,6462,768040,524822,309619,166388,74799,8663,938107,560596,303673,140887,71627,8014,779027,581169,336327,186777,46666,6258,817617,649160,316748,205703,60730,6992,689322,605619,345624,184467,94278,10234,785849,607725,333108,180415,69492
Raw Data (Em Spectrum),649,628,346627,244366,136738,66722,23690,440,865855,612755,336854,143477,76480,1734,359945,252670,138346,66987,33665,5106,812659,608480,351902,202967,72615,2468,375051,239714,134149,60944,26376,5802,888559,654676,336023,180359,79765,3657,347511,244656,127748,91445,40360,15680,890559,629387,344801,177306,69074,4724,806795,562351,308107,157616,74968,14400,816388,624837,336932,180485,68712,6821,792447,543391,320961,174050,77856,8903,969864,579293,316136,147056,73726,8425,808761,601108,348574,193320,48162,6512,846247,669801,328690,212469,62248,7217,716736,624532,358341,189310,96450,10338,814364,625745,345120,187243,70789
Raw Data (Em Spectrum),650,579,355500,248974,141260,69086,23990,470,880793,621586,341313,146565,76553,1678,369504,255946,142190,67913,34902,4889,826127,617706,357069,206867,73569,2474,382737,245446,137454,63395,27162,6047,904314,666494,343208,183010,82299,3612,356287,251240,130353,93532,41647,16281,907179,641093,350289,180675,70709,4800,820991,572012,311751,159594,75757,14494,826860,637085,341041,184406,70699,6621,803216,557359,326962,176562,78473,9006,993204,591079,320791,148504,75816,8714,822292,610877,351729,196634,48609,6750,859411,688698,334623,216606,64296,7482,726123,637535,363551,192076,98213,10674,826904,640598,348607,190869,72228
Raw Data (Em Spectrum),651,741,360004,253481,141853,69640,24090,477,896760,629806,346947,148658,78039,1822,373848,262575,142330,69879,35269,5029,839381,623823,363557,208570,74299,2634,392036,249335,138991,63982,27109,6237,914908,677980,347292,187845,82489,3842,362283,253958,131379,95917,43105,16823,922083,651754,353742,182745,70990,4902,830870,578313,318397,163426,76993,14808,836371,640843,348815,184699,70731,7100,817280,558684,330023,178594,79257,9393,1002664,597343,323796,149638,76359,8739,830901,623518,359558,199238,49473,6765,871823,689205,338980,220069,64565,7455,740663,642954,366185,194077,99733,10697,835981,645431,354503,193234,72563
Raw Data (Em Spectrum),652,708,360765,256754,145521,69119,24412,417,894364,632185,345344,149103,78636,1869,374297,263413,143225,69993,34190,4956,834476,621450,361296,208257,73279,2447,392222,249861,141299,64433,27026,5930,919672,677022,347927,186193,81338,3853,365623,256285,130907,96624,42306,16806,919958,646852,352227,181289,71665,5008,830545,580096,316501,162541,76793,14343,836574,641458,346505,183798,70754,6737,820055,562770,328840,179732,79584,9528,1005581,597168,323530,148957,75637,8788,830436,619597,357152,199229,49340,6930,870691,689767,339503,217878,64251,7055,738680,645061,369043,193070,99638,10376,833612,648200,353789,193300,72836
Raw Data (Em Spectrum),653,692,361506,252401,141933,68642,24137,410,878555,621857,339941,144962,77502,1741,372156,258620,143051,69127,34483,4979,826867,613012,356085,206496,73104,2588,387134,247837,138674,62385,26629,6022,905759,667299,344365,183381,81624,3871,361692,251576,130080,95202,42412,16470,909971,638284,346847,178647,69973,4734,820610,570526,313066,159781,75532,14483,822596,635302,340585,183812,70452,6661,807112,551356,323758,175846,78871,9265,989204,586692,315739,146459,73706,8679,820056,614695,352512,193998,48040,6752,858906,678076,331341,215271,63291,7151,732607,633156,362938,192641,98562,10202,821941,635504,348013,191118,71943
Raw Data (Em Spectrum),654,651,351702,249040,138607,67729,23531,465,864072,606194,332803,144377,74816,1690,364816,255750,140505,67532,33862,4708,806990,601716,350406,200676,71748,2696,384098,242653,136283,61330,26041,5775,884705,650479,334569,178779,79787,3658,352790,246404,127314,92983,40998,16187,891508,625526,340962,176111,68155,4938,803687,558087,306876,156998,73832,13961,809752,622349,335488,179687,68779,6590,790781,538028,320580,172419,75757,9023,969758,577435,312853,144240,73307,8241,803972,601349,343696,190619,47910,6442,843439,669368,324507,212619,61281,6945,717880,621419,354825,187885,96750,10636,807483,622256,341383,186009,69052
